Kent,Kent,2023-12-06,0.4,17.200857293791447,68.80342917516579
Kent,Kent,2023-12-06,0.5,27.15516100094471,135.77580500472354
Kent,Kent,2023-12-06,0.5,28.643680082125826,143.21840041062913
vidar,vidar,2023-12-06,0.5,17.834774510786048,89.17387255393024
vidar,vidar,2023-12-06,0.5,27.52676832768499,137.63384163842494
vidar,vidar,2023-12-06,0.5,30.771458975453783,153.8572948772689
Mella,Mella,2023-12-06,0.475,20.570371509571626,97.70926467046522
Mella,Mella,2023-12-06,0.48958333333333337,28.435354959645004,139.21475865659534
Mella,Mella,2023-12-06,0.5,18.850660169712384,94.25330084856192
Mella,Mella,2023-12-06,0.4388888888888889,22.641486060981435,99.37096660097409
Gerd,Gerd,2023-12-06,98.21428571428571,11.835672097065114,11624.320809617522
Gerd,Gerd,2023-12-06,100.0,15.932146010650666,15932.146010650666
Gerd,Gerd,2023-12-07,44.848484848484844,9.412184026637018,4221.221927097814
Kristian,Kristian,2023-12-07,55.0,8.01667082863931,4409.16895575162
Kristian,Kristian,2023-12-07,95.0,15.424728516478918,14653.492090654972
Kristian,Kristian,2023-12-07,100.0,15.6237776474451,15623.7776474451
Elina,Elina,2023-12-07,37.5,8.3876352370792,3145.3632139047
Elina,Elina,2023-12-07,69.15584415584415,14.17749221087519,9804.56441855979
Elina,Elina,2023-12-07,77.14285714285714,12.046375844874664,9292.91850890331
Elina,Elina,2023-12-07,61.02564102564102,11.865728919232465,7241.137135326478
Elina,Elina,2023-12-07,84.21875,11.675989486814178,9833.372395926315
Elina,Elina,2023-12-07,99.07407407407408,14.039353682639103,13909.35966705911
Øystein,Øystein,2023-12-07,87.5,11.520100398636544,10080.087848806976
Øystein,Øystein,2023-12-07,100.0,14.835473836261992,14835.473836261992
Øystein,Øystein,2023-12-07,100.0,11.9245559078685,11924.5559078685
Innocent,Innocent,2024-08-06,100.0,11.438981185638928,11438.981185638928
Elizabeth,Elizabeth,2024-08-12,100.0,9.56973897343063,9569.738973430629
Elizabeth,Elizabeth,2024-08-12,100.0,12.26299570843894,12262.995708438939
Elizabeth,Elizabeth,2024-08-12,100.0,16.560077927536504,16560.077927536506
Elizabeth,Elizabeth,2024-08-12,100.0,8.407856245433608,8407.856245433608
Elizabeth,Elizabeth,2024-08-12,91.66666666666667,11.457672121435941,10502.86611131628
Peter,Peter,2024-08-16,80.0,8.629879790115728,6903.903832092583
Peter,Peter,2024-08-16,100.0,13.956059695035007,13956.059695035006
